"filename", "language", "TypeScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\api\last_activity_data.tsx", "TypeScript JSX", 0, 0, 0, 1, 1
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\api\translation_call.tsx", "TypeScript JSX", 67, 0, 3, 23, 93
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\app.tsx", "TypeScript JSX", 143, 0, 24, 98, 265
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\current_user.tsx", "TypeScript JSX", 3, 0, 1, 3, 7
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\current_user_database.tsx", "TypeScript JSX", 3, 0, 1, 3, 7
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\default_app_settings_context.tsx", "TypeScript JSX", 12, 0, 1, 8, 21
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\dimensions.tsx", "TypeScript JSX", 8, 0, 1, 8, 17
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\edit_text_context.tsx", "TypeScript JSX", 9, 0, 1, 6, 16
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\last_activity.tsx", "TypeScript JSX", 10, 0, 1, 4, 15
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\loading.tsx", "TypeScript JSX", 4, 0, 1, 3, 8
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\loggedIn.tsx", "TypeScript JSX", 4, 0, 1, 3, 8
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\options_context.tsx", "TypeScript JSX", 8, 0, 1, 4, 13
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\swipe_toggle.tsx", "TypeScript JSX", 4, 0, 1, 3, 8
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\context\view_full_text_context.tsx", "TypeScript JSX", 15, 0, 1, 7, 23
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\database\local_database.tsx", "TypeScript JSX", 159, 0, 1, 55, 215
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\game\game_start_screen.tsx", "TypeScript JSX", 163, 0, 5, 59, 227
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\game\gamestack.tsx", "TypeScript JSX", 104, 0, 2, 24, 130
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\game\vocabgame.tsx", "TypeScript JSX", 225, 0, 7, 42, 274
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\routes\drawer.tsx", "TypeScript JSX", 135, 0, 3, 56, 194
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\routes\homestack.tsx", "TypeScript JSX", 39, 0, 1, 13, 53
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\routes\login_stack.tsx", "TypeScript JSX", 19, 0, 1, 9, 29
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\routes\manage_projects_stack.tsx", "TypeScript JSX", 28, 0, 1, 10, 39
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\about\about.tsx", "TypeScript JSX", 44, 0, 1, 25, 70
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\account\account.tsx", "TypeScript JSX", 333, 0, 18, 107, 458
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\components\activity_content.tsx", "TypeScript JSX", 47, 0, 1, 15, 63
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\components\default_content.tsx", "TypeScript JSX", 35, 0, 1, 17, 53
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\game_settings.tsx", "TypeScript JSX", 75, 0, 2, 28, 105
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\homebottomtab.tsx", "TypeScript JSX", 74, 0, 1, 26, 101
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\homescreen.tsx", "TypeScript JSX", 63, 0, 5, 29, 97
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\search_results\results_row.tsx", "TypeScript JSX", 188, 0, 6, 54, 248
"c:\Users\lenovo\Desktop\Prog\js\react\VocabPanda\src\app\screens\home\hometab_stack\search_results\results_table.tsx", "TypeScript JSX", 130, 0, 4, 39, 173
